player_id,player_name,team,team_id,league_id,games_played,games_started,min,pts,fgm,fga,fg_pct,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,ftm,fta,ft_pct,def,off,reb,ast,stl,to,pf,pfa,blk,blka,rate
c543460489d1,ויקטוריה ויויאנס,מכבי עירוני רמת גן,210,11,2,2,34.5,15.0,6.0,15.0,40.0,5.5,11.0,50.0,0.5,4.0,12.5,2.5,4.0,62.5,7.5,1.0,8.5,3.5,0.5,3.0,2.5,4.5,1.0,2.0,15.0
c62fa5c75355,צליל וטורי,אליצור חולון,907,11,2,2,19.5,1.0,0.5,6.0,8.3,0.5,3.0,16.7,0.0,3.0,0.0,0.0,0.0,0.0,2.5,0.5,3.0,2.0,0.5,3.5,1.0,0.0,0.0,0.0,-3.5
c6469943cac2,נוגה הרן,הפועל לב ירושלים פארק בית הכרם,7735,11,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c718055c853f,טטיאנה יורקביצ’וס,הפועל באר שבע/דימונה,10197,11,1,1,33.0,10.0,3.0,7.0,42.9,1.0,5.0,20.0,2.0,2.0,100.0,2.0,4.0,50.0,16.0,3.0,19.0,6.0,1.0,3.0,3.0,3.0,1.0,1.0,27.0
c926e2578293,וויליאמס קריסטין לין,הפועל ראשון לציון,520,11,2,2,38.0,17.5,5.5,21.0,26.2,4.0,13.5,29.6,1.5,7.5,20.0,5.0,6.5,76.9,4.0,2.0,6.0,3.0,1.5,2.5,1.0,5.0,0.0,0.5,12.0
cb5de7af8a52,טליה סידני סרני,מכבי אשדוד נשים,194,11,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ce66e69e849a,שקיילה ג'וזף,אליצור חולון,907,11,2,1,33.0,6.5,2.5,8.5,29.4,2.0,5.0,40.0,0.5,3.5,14.3,1.0,1.0,100.0,6.0,3.0,9.0,4.0,1.5,2.5,1.5,2.0,0.0,0.0,13.0
cecfcad597ae,סטאשה קארי,מכבי אשדוד נשים,194,11,2,2,36.5,17.0,6.0,11.0,54.5,5.0,8.5,58.8,1.0,2.5,40.0,4.0,5.0,80.0,7.5,2.0,9.5,1.5,2.0,1.0,2.5,3.5,1.0,0.0,25.0
cf9c50272e63,אריאל הירן,מכבי כרמיאל,1219,11,1,1,37.0,19.0,6.0,16.0,37.5,5.0,12.0,41.7,1.0,4.0,25.0,6.0,7.0,85.7,7.0,1.0,8.0,7.0,4.0,1.0,3.0,4.0,0.0,0.0,27.0
d2d4fcd3a63b,שדא כנעאן,הפועל באר שבע/דימונה,10197,11,1,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,-2.0
